"","time","accelerator_pedal_position","torque_at_transmission","fuel_consumed_since_restart","steering_wheel_angle","fuel_level","engine_speed","vehicle_speed","odometer","longitude","latitude","brake_pedal_status","transmission_gear_position"
"1",1369419697.39974,0,2.5,0.550962,-157.868393,54.157784,780,0,24795,137.149994,199.5,0,0
"2",1369419698.39974,0,3,0.5512735,-158.000244,54.157784,774,0,24795,137.149994,199.5,0,0
"3",1369419699.39974,0,2.5,0.551586,-157.9343185,54.157784,782,0,24795,137.149994,199.5,0,0
"4",1369419700.39974,0,2,0.5518985,-157.868393,54.157784,778,0,24795,137.149994,199.5,0,0
"5",1369419701.39974,0,2.5,0.552211,-158.000244,54.157784,776,0,24795,137.149994,199.5,0,0
"6",1369419702.39974,0,3,0.5525235,-158.000244,54.157784,776,0,24795,137.149994,199.5,0,0
"7",1369419703.39974,0,3.5,0.5528355,-158.000244,54.157784,772,0,24795,137.149994,199.5,0,0
"8",1369419704.39974,0,4,0.55311,-158.08815,54.157784,774,0,24795,137.149994,199.5,0,0
"9",1369419705.39974,0,4.5,0.553435,-158.967148,54.157784,776,0,24795,137.149994,199.5,0,0
"10",1369419706.39974,0,4,0.5537725,-158.879242,54.157784,772,0,24795,137.149994,199.5,0,0
"11",1369419707.39974,0,3.5,0.55406,-158.879242,54.157784,778,0,24795,137.149994,199.5,0,0
"12",1369419708.39974,0,2,0.55436,-158.879242,54.157784,778,0,24795,137.149994,199.5,0,0
"13",1369419709.39974,0,3.5,0.55466,-158.791351,53.731346,776,0,24795,137.149994,199.5,0,0
"14",1369419710.39974,0,3,0.554984,-158.791351,53.731346,776,0,24795,137.149994,199.5,0,0
"15",1369419711.39974,0,3.5,0.555309,-158.791351,53.731346,766,0,24795,137.149994,199.5,0,0
"16",1369419712.39974,0,4,0.555584,-158.791351,53.731346,756,0,24795,137.149994,199.5,0,0
"17",1369419713.39974,0,3.5,0.555884,-158.791351,53.731346,744,0,24795,137.149994,199.5,0,0
"18",1369419714.39974,0,3,0.556184,-160.3295975,53.731346,726,0,24795,137.149994,199.5,0,0
"19",1369419715.39974,0,4,0.556459,-160.285645,53.731346,712,0,24795,137.149994,199.5,0,0
"20",1369419716.39974,0,5,0.556708,-160.37355,53.731346,710,0,24795,137.149994,199.5,0,0
"21",1369419717.39974,0,5,0.556933,-164.197189,53.731346,704,0,24795,137.149994,199.5,0,0
"22",1369419718.39974,0,5,0.5571955,-168.899841,53.731346,696,0,24795,137.149994,199.5,0,0
"23",1369419719.39974,0,5.5,0.557508,-163.581894,53.731346,706,0,24795,137.149994,199.5,0,0
"24",1369419720.39974,0,5,0.557783,-163.18634,53.731346,698,0,24795,137.149994,199.5,0,0
"25",1369419721.39974,0,3.5,0.558057,-163.09845,53.304905,704,0,24795,137.149994,199.5,0,0
"26",1369419722.39974,0,5,0.5583445,-162.966599,53.304905,696,0,24795,137.149994,199.5,0,0
"27",1369419723.39974,0,4,0.558607,-162.966599,53.304905,704,0,24795,137.149994,199.5,0,0
"28",1369419724.39974,0,5,0.558857,-160.065903,53.304905,708,0,24795,137.149994,199.5,0,0
"29",1369419725.39974,0,6,0.559132,-160.065903,53.304905,704,0,24795,137.149994,199.5,0,0
"30",1369419726.39974,0,3,0.559431,-160.065903,53.304905,702,0,24795,137.149994,199.5,0,0
"31",1369419727.39974,0,4,0.559706,-160.065903,53.304905,698,0,24795,137.149994,199.5,0,0
"32",1369419728.39974,0,4,0.559981,-160.285645,53.304905,708,0,24795,137.149994,199.5,0,0
"33",1369419729.39974,0,4,0.560231,-160.285645,53.304905,704,0,24795,137.149994,199.5,0,0
"34",1369419730.39974,0,4,0.5604435,-160.197739,53.304905,696,0,24795,137.149994,199.5,0,0
"35",1369419731.39974,0,3,0.560718,-160.197739,53.304905,700,0,24795,137.149994,199.5,0,0
"36",1369419732.39974,0,3,0.561005,-160.197739,53.304905,694,0,24795,137.149994,199.5,0,0
"37",1369419733.39974,0,2,0.561305,-160.197739,53.304905,704,0,24795,137.149994,199.5,0,0
"38",1369419734.39974,0,4,0.56158,-160.197739,53.304905,700,0,24795,137.149994,199.5,0,0
"39",1369419735.39974,0,3.5,0.561855,-160.197739,53.304905,698,0,24795,137.149994,199.5,0,0
"40",1369419736.39974,0,4,0.562104,-159.977997,53.304905,692,0,24795,137.149994,199.5,0,0
"41",1369419737.39974,0,4,0.562354,-159.977997,53.304905,698,0,24795,137.149994,199.5,0,0
"42",1369419738.39974,0,2,0.562654,-159.977997,53.304905,708,0,24795,137.149994,199.5,0,0
"43",1369419739.39974,0,3,0.562904,-159.977997,53.304905,702,0,24795,137.149994,199.5,0,0
"44",1369419740.39974,0,3,0.563229,-159.977997,53.304905,698,0,24795,137.149994,199.5,0,0
"45",1369419741.39974,0,3,0.5634905,-159.977997,53.304905,696,0,24795,137.149994,199.5,0,0
"46",1369419742.39974,0,5,0.563753,-159.977997,53.304905,694,0,24795,137.149994,199.5,0,0
"47",1369419743.39974,0,3,0.564028,-159.977997,53.304905,700,0,24795,137.149994,199.5,0,0
"48",1369419744.39974,0,3,0.564278,-159.626396,53.304905,702,0,24795,137.149994,199.5,0,0
"49",1369419745.39974,0,3,0.564553,-159.75824,53.731346,698,0,24795,137.149994,199.5,0,0
"50",1369419746.39974,0,2.5,0.564827,-159.75824,53.731346,702,0,24795,137.149994,199.5,0,0
"51",1369419747.39974,0,3,0.565102,-162.790802,53.731346,700,0,24795,137.149994,199.5,0,0
"52",1369419748.39974,0,2,0.565377,-159.582443,53.731346,704,0,24795,137.149994,199.5,0,0
"53",1369419749.39974,0,2.5,0.565652,-160.37355,53.731346,700,0,24795,137.149994,199.5,0,0
"54",1369419750.39974,0,3,0.565952,-158.967148,53.731346,706,0,24795,137.149994,199.5,0,0
"55",1369419751.39974,0,3,0.5662265,-160.175766,53.731346,700,0,24795,137.149994,199.5,0,0
"56",1369419752.39974,0,5.5,0.566476,-159.18689,53.731346,694,0,24795,137.149994,199.5,0,0
"57",1369419753.39974,0,3.5,0.566726,-159.18689,53.731346,698,0,24795,137.149994,199.5,0,0
"58",1369419754.39974,0,4,0.567001,-159.18689,53.731346,700,0,24795,137.149994,199.5,0,0
"59",1369419755.39974,0,3.5,0.5672385,-159.18689,53.731346,692,0,24795,137.149994,199.5,0,0
"60",1369419756.39974,0,4,0.567525,-159.274796,53.731346,696,0,24795,137.149994,199.5,0,0
"61",1369419757.39974,0,4,0.5678125,-160.285645,53.731346,702,0,24795,137.149994,199.5,0,0
"62",1369419758.39974,0,3,0.568075,-159.977997,53.731346,698,0,24795,137.149994,199.5,0,0
"63",1369419759.39974,0,3.5,0.56835,-159.582443,53.731346,706,0,24795,137.149994,199.5,0,0
"64",1369419760.39974,0,4,0.5686,-158.571594,53.731346,694,0,24795,137.149994,199.5,0,0
"65",1369419761.39974,0,5.5,0.56885,-158.571594,53.731346,700,0,24795,137.149994,199.5,0,0
"66",1369419762.39974,0,3,0.569124,-158.395798,53.731346,706,0,24795,137.149994,199.5,0,0
"67",1369419763.39974,0,2,0.569399,-158.395798,53.731346,698,0,24795,137.149994,199.5,0,0
"68",1369419764.39974,0,4,0.569699,-159.670349,53.731346,690,0,24795,137.149994,199.5,0,0
"69",1369419765.39974,0,3.5,0.569949,-160.37355,53.731346,696,0,24795,137.149994,199.5,0,0
"70",1369419766.39974,0,4,0.570224,-160.37355,53.731346,690,0,24795,137.149994,199.5,0,0
"71",1369419767.39974,0,4,0.570498,-160.37355,53.731346,702,0,24795,137.149994,199.5,0,0
"72",1369419768.39974,0,2,0.5707855,-160.285645,53.731346,706,0,24795,137.149994,199.5,0,0
"73",1369419769.39974,0,3,0.571023,-159.977997,53.731346,708,0,24795,137.149994,199.5,0,0
"74",1369419770.39974,0,1,0.571323,-159.977997,53.731346,704,0,24795,137.149994,199.5,0,0
"75",1369419771.39974,0,2,0.571573,-159.890091,53.731346,700,0,24795,137.149994,199.5,0,0
"76",1369419772.39974,0,5,0.571847,-159.890091,53.731346,694,0,24795,137.149994,199.5,0,0
"77",1369419773.39974,0,3.5,0.572122,-159.890091,53.731346,690,0,24795,137.149994,199.5,0,0
"78",1369419774.39974,0,4,0.572372,-159.18689,53.731346,702,0,24795,137.149994,199.5,0,0
"79",1369419775.39974,0,2,0.572647,-159.18689,53.731346,702,0,24795,137.149994,199.5,0,0
"80",1369419776.39974,0,2.5,0.572922,-159.18689,53.731346,698,0,24795,137.149994,199.5,0,0
"81",1369419777.39974,0,3,0.573171,-159.18689,53.731346,692,0,24795,137.149994,199.5,0,0
"82",1369419778.39974,0,4,0.573446,-165.164093,53.731346,698,0,24795,137.149994,199.5,0,0
"83",1369419779.39974,0,2,0.573721,-165.559647,53.731346,702,0,24795,137.149994,199.5,0,0
"84",1369419780.39974,0,3,0.573971,-161.164642,53.731346,704,0,24795,137.149994,199.5,0,0
"85",1369419781.39974,0,3,0.574221,-161.164642,53.731346,698,0,24795,137.149994,199.5,0,0
"86",1369419782.39974,0,5,0.574495,-160.681198,53.731346,694,0,24795,137.149994,199.5,0,0
"87",1369419783.39974,0,3.5,0.57477,-160.593292,53.731346,704,0,24795,137.149994,199.5,0,0
"88",1369419784.39974,0,3,0.575045,-160.593292,53.731346,700,0,24795,137.149994,199.5,0,0
"89",1369419785.39974,0,2,0.575295,-160.593292,53.731346,704,0,24795,137.149994,199.5,0,0
"90",1369419786.39974,0,3,0.5755945,-160.637245,53.731346,696,0,24795,137.149994,199.5,0,0
"91",1369419787.39974,0,4,0.5758565,-160.681198,53.304905,698,0,24795,137.149994,199.5,0,0
"92",1369419788.39974,0,2.5,0.576119,-160.593292,53.304905,706,0,24795,137.149994,199.5,0,0
"93",1369419789.39974,0,1.5,0.5764065,-159.274796,53.304905,706,0,24795,137.149994,199.5,0,0
"94",1369419790.39974,0,2,0.576669,-157.384941,53.304905,706,0,24795,137.149994,199.5,0,0
"95",1369419791.39974,0,1,0.5769435,-159.75824,53.304905,704,0,24795,137.149994,199.5,0,0
"96",1369419792.39974,0,3,0.577193,-159.75824,53.304905,702,0,24795,137.149994,199.5,0,0
"97",1369419793.39974,0,2,0.577443,-160.065903,53.304905,702,0,24795,137.149994,199.5,0,0
"98",1369419794.39974,0,5,0.577718,-160.065903,53.304905,696,0,24795,137.149994,199.5,0,0
"99",1369419795.39974,0,3.5,0.577993,-159.890091,53.304905,696,0,24795,137.149994,199.5,0,0
"100",1369419796.39974,0,4,0.578267,-159.890091,53.304905,692,0,24795,137.149994,199.5,0,0
"101",1369419797.39974,0,3,0.578517,-159.890091,53.304905,700,0,24795,137.149994,199.5,0,0
"102",1369419798.39974,0,2,0.578792,-159.890091,53.304905,708,0,24795,137.149994,199.5,0,0
"103",1369419799.39974,0,3,0.579067,-159.890091,53.304905,706,0,24795,137.149994,199.5,0,0
"104",1369419800.39974,0,3.5,0.579317,-159.890091,53.304905,696,0,24795,137.149994,199.5,0,0
"105",1369419801.39974,0,3.5,0.579566,-159.890091,53.304905,700,0,24795,137.149994,199.5,0,0
"106",1369419802.39974,0,4,0.5797785,-159.890091,53.304905,700,0,24795,137.149994,199.5,0,0
"107",1369419803.39974,0,4,0.580091,-159.890091,53.304905,706,0,24795,137.149994,199.5,0,0
